EmployeeID,ExitDate,ExitReason,TenureAtExit_Months,RehireEligible
EMP8024,2024-01-28,Better Opportunity,29,Yes
EMP8034,2023-11-03,Better Opportunity,43,Yes
EMP8057,2025-03-30,End of Contract,15,Yes
EMP8079,2025-01-19,End of Contract,18,Yes
EMP8081,2024-01-29,Better Opportunity,36,Yes
EMP8094,2024-10-21,Salary Issues,16,No
EMP8112,2025-01-02,Family Reasons,21,Yes
EMP8114,2024-07-10,End of Contract,22,Yes
EMP8126,2025-10-04,Salary Issues,36,No
EMP8147,2025-02-16,Better Opportunity,20,Yes
EMP8150,2025-05-13,Work Conditions,8,No
EMP8162,2023-07-23,Better Opportunity,31,Yes
EMP8165,2025-02-23,Better Opportunity,31,Yes
EMP8203,2025-05-13,End of Contract,14,Yes
EMP8207,2023-11-07,Terminated,45,No
EMP8276,2023-06-22,End of Contract,37,Yes
EMP8290,2025-08-24,Better Opportunity,17,Yes
EMP8303,2024-01-27,Better Opportunity,39,Yes
EMP8335,2025-11-11,Better Opportunity,3,Yes
EMP8351,2025-08-09,Better Opportunity,17,Yes
EMP8354,2024-01-12,Better Opportunity,47,Yes
EMP8366,2024-05-16,Better Opportunity,28,Yes
EMP8373,2025-10-22,Better Opportunity,16,Yes
EMP8383,2022-08-13,Family Reasons,46,Yes
EMP8390,2022-09-10,Better Opportunity,40,Yes
EMP8403,2025-09-05,End of Contract,31,Yes
EMP8409,2024-09-11,Better Opportunity,32,Yes
EMP8418,2025-01-13,Health Issues,39,No
EMP8423,2025-10-15,Better Opportunity,18,Yes
EMP8434,2024-11-14,Better Opportunity,35,Yes
EMP8454,2025-10-31,Family Reasons,13,Yes
EMP8467,2024-12-03,Terminated,46,No
EMP8472,2024-01-21,End of Contract,24,Yes
EMP8473,2024-07-02,Better Opportunity,25,Yes
EMP8474,2025-04-02,End of Contract,14,Yes
EMP8482,2023-01-24,Better Opportunity,39,Yes
EMP8508,2024-08-01,Work Conditions,27,No
EMP8510,2023-07-26,End of Contract,35,Yes
EMP8524,2025-03-20,Better Opportunity,18,Yes
EMP8529,2023-05-11,Better Opportunity,38,Yes
EMP8537,2025-05-29,Better Opportunity,21,Yes
EMP8544,2023-09-24,Family Reasons,31,Yes
EMP8570,2025-08-05,Better Opportunity,6,Yes
EMP8576,2025-06-29,Work Conditions,29,No
EMP8581,2025-02-28,Family Reasons,11,Yes
EMP8587,2025-08-17,Family Reasons,13,Yes
EMP8599,2024-08-18,Better Opportunity,38,Yes
EMP8612,2025-08-07,Better Opportunity,6,Yes
EMP8615,2025-09-21,Work Conditions,15,No
EMP8621,2025-05-26,Family Reasons,19,Yes
EMP8627,2025-03-26,Better Opportunity,16,Yes
EMP8642,2025-04-22,Work Conditions,18,No
EMP8646,2023-05-30,End of Contract,32,Yes
EMP8650,2025-04-15,Salary Issues,12,No
EMP8656,2025-06-27,Better Opportunity,44,Yes
EMP8675,2025-10-26,Salary Issues,7,No
EMP8683,2022-11-19,Better Opportunity,43,Yes
EMP8698,2025-02-11,Better Opportunity,12,Yes
EMP8701,2025-10-25,End of Contract,10,Yes
EMP8702,2025-04-06,Better Opportunity,10,Yes
EMP8705,2024-02-09,End of Contract,43,Yes
EMP8713,2023-11-03,Better Opportunity,43,Yes
EMP8719,2023-12-03,End of Contract,35,Yes
EMP8732,2024-04-29,Salary Issues,30,No
EMP8753,2025-02-23,Better Opportunity,31,Yes
EMP8762,2025-09-26,Better Opportunity,5,Yes
EMP8769,2024-05-23,Salary Issues,29,No
EMP8804,2023-12-17,Better Opportunity,36,Yes
EMP8822,2025-08-11,Salary Issues,28,No
EMP8847,2023-05-21,Better Opportunity,33,Yes
EMP8852,2024-11-06,Family Reasons,18,Yes
EMP8853,2025-08-23,Family Reasons,20,Yes
EMP8859,2025-09-08,Better Opportunity,6,Yes
EMP8862,2024-02-14,End of Contract,44,Yes
EMP8866,2023-11-19,Better Opportunity,37,Yes
EMP8871,2022-09-01,Work Conditions,45,No
EMP8875,2024-01-08,Better Opportunity,42,Yes
EMP8907,2025-09-24,Family Reasons,10,Yes
EMP8928,2023-10-10,End of Contract,27,Yes
EMP8934,2024-12-26,Better Opportunity,21,Yes
EMP8951,2022-05-21,Better Opportunity,46,Yes
EMP8980,2025-06-25,Family Reasons,11,Yes
EMP8993,2025-09-28,Better Opportunity,39,Yes
EMP8995,2023-09-22,Better Opportunity,47,Yes
EMP8999,2023-10-25,Family Reasons,30,Yes
EMP9013,2024-06-17,End of Contract,31,Yes
EMP9079,2023-10-09,Work Conditions,36,No
EMP9080,2024-03-11,Better Opportunity,35,Yes
EMP9082,2022-04-12,Better Opportunity,45,Yes
EMP9109,2025-08-17,Better Opportunity,17,Yes
EMP9112,2024-10-30,Better Opportunity,14,Yes
EMP9137,2023-11-04,Better Opportunity,26,Yes
EMP9140,2024-10-31,Salary Issues,15,No
EMP9180,2025-11-15,Salary Issues,27,No
EMP9182,2024-04-16,Salary Issues,26,No
EMP9237,2025-11-13,Family Reasons,25,Yes
EMP9241,2025-11-01,Family Reasons,17,Yes
EMP9242,2025-07-01,Better Opportunity,8,Yes
EMP9256,2025-01-05,Better Opportunity,29,Yes
EMP9272,2025-08-18,End of Contract,13,Yes
EMP9293,2022-06-06,End of Contract,45,Yes
EMP9326,2025-04-06,Salary Issues,13,No
EMP9332,2023-08-29,End of Contract,37,Yes
EMP9336,2025-09-25,Salary Issues,14,No
EMP9350,2025-06-07,Better Opportunity,11,Yes
EMP9353,2023-08-23,Salary Issues,30,No
EMP9375,2025-08-16,Better Opportunity,17,Yes
EMP9385,2023-09-24,Better Opportunity,37,Yes
EMP9399,2023-08-02,Salary Issues,38,No
EMP9436,2024-03-14,End of Contract,27,Yes
EMP9446,2022-03-31,Better Opportunity,45,Yes
EMP9449,2023-12-03,Health Issues,26,No
EMP9483,2025-09-06,Better Opportunity,15,Yes
EMP9491,2025-10-13,Family Reasons,22,Yes
EMP9496,2025-06-27,End of Contract,5,Yes
EMP9502,2025-10-06,Better Opportunity,15,Yes
EMP9505,2025-09-09,Salary Issues,41,No
EMP9513,2025-04-10,Better Opportunity,15,Yes
EMP9527,2024-09-21,Better Opportunity,17,Yes
EMP9537,2025-04-01,Work Conditions,18,No
EMP9542,2023-05-22,Terminated,32,No
EMP9549,2022-12-03,Health Issues,43,No
EMP9562,2025-06-04,Better Opportunity,8,Yes
EMP9581,2022-06-16,Health Issues,46,No
EMP9596,2023-01-19,End of Contract,37,Yes
EMP9611,2025-03-05,Better Opportunity,17,Yes
EMP9624,2024-05-24,End of Contract,24,Yes
EMP9625,2023-02-05,End of Contract,38,Yes
EMP9644,2025-03-02,End of Contract,22,Yes
EMP9656,2023-09-17,Terminated,39,No
EMP9676,2024-10-10,Work Conditions,15,No
EMP9709,2024-11-01,End of Contract,34,Yes
EMP9714,2025-08-25,End of Contract,15,Yes
EMP9720,2024-07-21,Salary Issues,18,No
EMP9743,2025-10-03,Better Opportunity,13,Yes
EMP9773,2024-10-04,End of Contract,25,Yes
EMP9776,2023-09-28,End of Contract,37,Yes
EMP9797,2024-09-12,Better Opportunity,19,Yes
EMP9804,2025-03-25,Salary Issues,10,No
EMP9815,2024-10-12,Work Conditions,29,No
EMP9821,2025-01-15,Family Reasons,14,Yes
EMP9846,2023-12-23,Work Conditions,27,No
EMP9863,2024-09-01,Better Opportunity,27,Yes
EMP9881,2023-09-14,Salary Issues,36,No
EMP9893,2024-01-25,Better Opportunity,29,Yes
EMP9899,2025-08-01,Family Reasons,10,Yes
EMP9907,2024-09-12,Family Reasons,32,Yes
EMP9912,2024-09-23,Salary Issues,42,No
EMP9936,2025-02-11,End of Contract,11,Yes
EMP9951,2025-05-17,Salary Issues,14,No
EMP9959,2025-02-18,Better Opportunity,31,Yes
EMP9961,2025-05-04,Family Reasons,22,Yes
EMP9979,2025-10-25,Family Reasons,3,Yes
EMP9984,2024-12-28,Better Opportunity,33,Yes
EMP9989,2024-06-16,Better Opportunity,36,Yes
EMP10005,2024-04-09,End of Contract,24,Yes
EMP10009,2025-10-01,End of Contract,5,Yes
EMP10029,2023-01-25,Better Opportunity,44,Yes
EMP10034,2024-05-15,Better Opportunity,22,Yes
EMP10059,2025-01-11,Better Opportunity,12,Yes
EMP10064,2025-07-15,Better Opportunity,7,Yes
EMP10084,2024-07-07,Better Opportunity,22,Yes
EMP10090,2023-12-09,Terminated,25,No
EMP10091,2024-03-13,Family Reasons,34,Yes
EMP10113,2025-09-15,Better Opportunity,4,Yes
EMP10120,2024-06-25,Health Issues,46,No
EMP10127,2025-06-14,End of Contract,15,Yes
EMP10155,2023-10-20,End of Contract,40,Yes
EMP10158,2025-10-12,Salary Issues,7,No
EMP10218,2025-10-22,Better Opportunity,14,Yes
EMP10228,2024-01-20,Terminated,37,No
EMP10231,2025-11-12,End of Contract,19,Yes
EMP10251,2025-07-26,End of Contract,12,Yes
EMP10257,2023-11-04,Salary Issues,43,No
EMP10263,2024-10-07,End of Contract,23,Yes
EMP10271,2024-07-10,Family Reasons,29,Yes
EMP10282,2023-09-26,Family Reasons,31,Yes
EMP10290,2025-10-30,Better Opportunity,4,Yes
EMP10298,2025-08-31,End of Contract,4,Yes
EMP10324,2025-02-17,Family Reasons,21,Yes
EMP10334,2025-01-08,Better Opportunity,15,Yes
EMP10339,2025-05-05,Better Opportunity,23,Yes
EMP10350,2025-09-04,Better Opportunity,9,Yes
EMP10361,2025-06-11,Better Opportunity,29,Yes
EMP10366,2025-04-04,Family Reasons,23,Yes
EMP10388,2024-07-04,Better Opportunity,32,Yes
EMP10395,2025-04-08,Work Conditions,9,No
EMP10396,2025-09-04,Family Reasons,3,Yes
EMP10401,2025-10-10,Family Reasons,19,Yes
EMP10411,2024-10-29,Family Reasons,39,Yes
EMP10414,2024-07-22,End of Contract,31,Yes
EMP10446,2024-08-21,Salary Issues,39,No
EMP10458,2025-09-30,End of Contract,44,Yes
EMP10476,2025-03-28,Work Conditions,20,No
EMP10493,2024-10-03,Health Issues,27,No
EMP10504,2023-11-25,Better Opportunity,34,Yes
EMP10514,2025-11-04,End of Contract,12,Yes
EMP10518,2025-05-13,Better Opportunity,10,Yes
EMP10552,2023-05-11,Better Opportunity,32,Yes
EMP10581,2025-09-10,Better Opportunity,15,Yes
EMP10583,2024-06-26,End of Contract,45,Yes
EMP10588,2025-10-09,End of Contract,3,Yes
EMP10590,2025-11-05,Health Issues,14,No
EMP10617,2025-09-14,End of Contract,19,Yes
EMP10622,2025-08-09,Better Opportunity,42,Yes
EMP10625,2022-11-19,End of Contract,38,Yes
EMP10629,2024-10-26,Health Issues,24,No
EMP10630,2024-10-28,Better Opportunity,27,Yes
EMP10648,2023-11-14,Family Reasons,28,Yes
EMP10663,2025-09-28,Family Reasons,14,Yes
EMP10670,2024-12-30,End of Contract,20,Yes
EMP10707,2024-09-06,Better Opportunity,17,Yes
EMP10721,2025-08-11,Terminated,15,No
EMP10723,2025-07-06,Family Reasons,6,Yes
EMP10730,2025-09-22,End of Contract,12,Yes
EMP10743,2023-01-25,Better Opportunity,43,Yes
EMP10750,2025-08-12,End of Contract,9,Yes
EMP10755,2025-11-05,End of Contract,4,Yes
EMP10773,2025-05-11,End of Contract,26,Yes
EMP10795,2025-02-11,Work Conditions,12,No
EMP10808,2024-12-18,End of Contract,21,Yes
EMP10832,2024-06-05,Salary Issues,30,No
EMP10836,2024-07-30,Family Reasons,33,Yes
EMP10847,2025-10-08,End of Contract,5,Yes
EMP10848,2025-11-09,Terminated,18,No
EMP10862,2025-08-04,End of Contract,8,Yes
EMP10875,2025-04-12,Family Reasons,19,Yes
EMP10884,2024-09-25,End of Contract,17,Yes
EMP10908,2025-03-14,End of Contract,38,Yes
EMP10923,2025-04-09,Work Conditions,9,No
EMP10926,2025-01-04,Salary Issues,14,No
EMP10936,2025-01-17,Better Opportunity,22,Yes
EMP10953,2024-11-17,End of Contract,19,Yes
EMP10962,2025-02-16,Health Issues,17,No
EMP10969,2025-04-25,Salary Issues,7,No
EMP10980,2023-12-21,Better Opportunity,26,Yes
EMP11000,2025-03-08,Family Reasons,39,Yes
EMP11076,2024-05-11,Salary Issues,37,No
EMP11111,2025-05-16,End of Contract,27,Yes
EMP11129,2025-04-21,Better Opportunity,10,Yes
EMP11133,2025-09-20,Terminated,10,No
EMP11134,2023-05-11,End of Contract,45,Yes
EMP11136,2025-11-03,Better Opportunity,13,Yes
EMP11143,2025-01-22,Better Opportunity,15,Yes
EMP11148,2025-07-12,Family Reasons,40,Yes
EMP11166,2025-06-27,Family Reasons,7,Yes
EMP11167,2024-11-09,Better Opportunity,34,Yes
EMP11184,2024-09-25,Salary Issues,33,No
EMP11188,2023-11-09,Better Opportunity,45,Yes
EMP11191,2025-07-23,End of Contract,41,Yes
EMP11212,2025-02-10,Better Opportunity,41,Yes
EMP11220,2024-12-17,Better Opportunity,23,Yes
EMP11241,2025-03-07,Work Conditions,25,No
EMP11244,2025-08-30,Better Opportunity,13,Yes
EMP11245,2024-11-18,Better Opportunity,15,Yes
EMP11273,2025-01-08,End of Contract,30,Yes
EMP11275,2025-04-01,Family Reasons,19,Yes
EMP11284,2025-10-14,Better Opportunity,4,Yes
EMP11289,2025-02-02,Work Conditions,14,No
EMP11305,2024-08-29,End of Contract,20,Yes
EMP11314,2023-07-02,Better Opportunity,39,Yes
EMP11369,2025-01-08,End of Contract,25,Yes
EMP11385,2025-05-17,Family Reasons,27,Yes
EMP11387,2025-06-06,Family Reasons,7,Yes
EMP11395,2023-12-29,End of Contract,46,Yes
EMP11399,2025-03-20,Better Opportunity,38,Yes
EMP11413,2025-01-03,Better Opportunity,12,Yes
EMP11418,2023-02-09,End of Contract,36,Yes
EMP11428,2025-01-25,Better Opportunity,29,Yes
EMP11467,2025-11-11,End of Contract,4,Yes
EMP11468,2024-09-05,Terminated,46,No
EMP11493,2023-05-22,Better Opportunity,34,Yes
EMP11503,2025-09-09,Family Reasons,44,Yes
EMP11520,2023-07-06,Better Opportunity,44,Yes
EMP11540,2025-02-17,Better Opportunity,38,Yes
EMP11550,2025-05-02,Better Opportunity,17,Yes
EMP11554,2024-12-18,End of Contract,17,Yes
EMP11572,2025-09-30,Salary Issues,5,No
EMP11575,2025-01-22,End of Contract,18,Yes
EMP11580,2025-07-05,Better Opportunity,7,Yes
EMP11606,2025-11-08,Salary Issues,8,No
EMP11614,2025-03-11,End of Contract,32,Yes
EMP11618,2025-04-03,Better Opportunity,34,Yes
EMP11629,2024-06-16,Family Reasons,31,Yes
EMP11651,2025-10-02,End of Contract,7,Yes
EMP11701,2025-07-28,Better Opportunity,30,Yes
EMP11705,2024-07-19,Family Reasons,45,Yes
EMP11710,2024-05-06,End of Contract,23,Yes
EMP11720,2022-11-26,Salary Issues,42,No
EMP11726,2025-03-27,Better Opportunity,17,Yes
EMP11728,2025-10-03,Work Conditions,7,No
EMP11750,2025-05-22,End of Contract,35,Yes
EMP11763,2024-04-08,End of Contract,30,Yes
EMP11805,2025-11-13,End of Contract,20,Yes
EMP11834,2024-12-24,Salary Issues,18,No
EMP11858,2023-06-03,Better Opportunity,44,Yes
EMP11891,2025-06-14,Salary Issues,8,No
EMP11911,2024-07-01,Salary Issues,30,No
EMP11913,2023-12-04,Better Opportunity,46,Yes
EMP11914,2025-01-22,Better Opportunity,27,Yes
EMP11922,2025-09-06,Family Reasons,6,Yes
EMP11944,2024-07-13,End of Contract,18,Yes
EMP11948,2025-05-07,End of Contract,10,Yes
EMP11975,2025-03-19,Salary Issues,23,No
EMP11982,2024-08-03,Terminated,23,No
EMP12001,2025-07-05,Family Reasons,23,Yes
EMP12008,2025-10-27,End of Contract,12,Yes
EMP12024,2022-10-28,Better Opportunity,44,Yes
EMP12026,2024-09-02,Health Issues,37,No
EMP12032,2024-01-30,Family Reasons,43,Yes
EMP12046,2022-10-13,Better Opportunity,45,Yes
EMP12061,2024-03-23,End of Contract,36,Yes
EMP12095,2024-12-26,Work Conditions,11,No
EMP12109,2025-07-10,End of Contract,23,Yes
EMP12120,2025-05-18,Better Opportunity,39,Yes
EMP12126,2025-11-02,Better Opportunity,10,Yes
EMP12142,2024-12-11,Salary Issues,33,No
EMP12209,2025-08-22,End of Contract,39,Yes
EMP12210,2025-10-26,Better Opportunity,6,Yes
EMP12211,2025-08-07,Salary Issues,25,No
EMP12229,2025-03-29,Better Opportunity,23,Yes
EMP12247,2024-07-22,End of Contract,21,Yes
EMP12300,2023-03-11,Better Opportunity,36,Yes
EMP12344,2025-06-06,Better Opportunity,33,Yes
EMP12353,2025-10-03,Work Conditions,26,No
EMP12357,2023-05-20,Better Opportunity,38,Yes
EMP12380,2024-10-08,Better Opportunity,25,Yes
EMP12382,2024-06-13,Family Reasons,47,Yes
EMP12408,2025-04-27,Better Opportunity,24,Yes
EMP12431,2025-07-06,Better Opportunity,11,Yes
EMP12435,2024-07-07,Better Opportunity,22,Yes
EMP12453,2025-07-08,End of Contract,20,Yes
EMP12481,2025-05-31,Better Opportunity,44,Yes
EMP12525,2025-07-01,Better Opportunity,9,Yes
EMP12527,2025-09-25,Health Issues,14,No
EMP12541,2024-04-26,End of Contract,26,Yes
EMP12552,2024-05-09,Family Reasons,19,Yes
EMP12592,2025-05-17,Family Reasons,11,Yes
EMP12600,2025-08-21,Family Reasons,22,Yes
EMP12619,2022-12-19,Terminated,43,No
EMP12655,2025-08-17,Terminated,36,No
EMP12674,2023-11-27,Terminated,32,No
EMP12688,2024-05-19,Family Reasons,41,Yes
EMP12712,2025-08-08,Better Opportunity,34,Yes
EMP12713,2023-12-20,End of Contract,36,Yes
EMP12722,2025-07-08,Salary Issues,7,No
EMP12733,2025-05-19,End of Contract,7,Yes
EMP12734,2024-08-12,Health Issues,46,No
EMP12735,2023-07-31,End of Contract,33,Yes
EMP12761,2025-10-24,End of Contract,30,Yes
EMP12769,2024-11-03,Salary Issues,17,No
EMP12780,2024-11-10,End of Contract,25,Yes
EMP12797,2022-08-22,Work Conditions,43,No
EMP12803,2025-05-16,Work Conditions,24,No
EMP12805,2025-05-04,Salary Issues,14,No
EMP12812,2023-04-30,Better Opportunity,34,Yes
EMP12813,2025-03-20,Family Reasons,10,Yes
EMP12828,2024-07-05,End of Contract,38,Yes
EMP12840,2025-02-12,Better Opportunity,16,Yes
EMP12864,2023-07-12,Health Issues,42,No
EMP12914,2024-05-31,Salary Issues,39,No
EMP12916,2024-12-04,Family Reasons,44,Yes
EMP12917,2024-04-24,Better Opportunity,34,Yes
EMP12921,2025-04-14,Family Reasons,46,Yes
EMP12935,2025-10-30,Better Opportunity,18,Yes
EMP12956,2024-10-21,Salary Issues,27,No
EMP12972,2025-08-27,Health Issues,6,No
EMP12978,2025-09-20,Family Reasons,15,Yes
EMP12992,2023-09-21,Salary Issues,37,No
EMP13007,2024-07-19,Work Conditions,27,No
EMP13040,2024-04-16,Better Opportunity,21,Yes
EMP13041,2024-09-28,Family Reasons,21,Yes
EMP13042,2024-08-12,Salary Issues,19,No
EMP13045,2022-12-16,Better Opportunity,41,Yes
EMP13063,2024-03-21,End of Contract,29,Yes
EMP13086,2024-11-24,End of Contract,21,Yes
EMP13092,2024-08-15,Salary Issues,16,No
EMP13101,2025-06-20,Better Opportunity,40,Yes
EMP13122,2024-07-31,End of Contract,26,Yes
EMP13143,2023-05-16,Salary Issues,34,No
EMP13144,2024-07-05,Health Issues,43,No
EMP13145,2025-04-22,Salary Issues,13,No
EMP13164,2025-01-22,Better Opportunity,36,Yes
EMP13165,2025-07-30,Family Reasons,19,Yes
EMP13191,2024-11-24,Work Conditions,17,No
EMP13205,2024-08-20,Salary Issues,27,No
EMP13212,2025-04-11,Health Issues,43,No
EMP13221,2024-09-22,Better Opportunity,36,Yes
EMP13243,2025-07-20,Family Reasons,8,Yes
EMP13244,2025-04-03,Better Opportunity,37,Yes
EMP13259,2022-10-24,Work Conditions,46,No
EMP13261,2022-12-01,Work Conditions,43,No
EMP13292,2025-10-02,Work Conditions,28,No
EMP13297,2025-07-20,End of Contract,15,Yes
EMP13299,2025-04-29,Family Reasons,43,Yes
EMP13311,2024-10-26,End of Contract,43,Yes
EMP13317,2025-09-10,Family Reasons,5,Yes
EMP13320,2024-11-16,End of Contract,15,Yes
EMP13324,2025-05-07,Work Conditions,8,No
EMP13335,2024-12-20,Better Opportunity,16,Yes
EMP13343,2025-08-20,Family Reasons,31,Yes
EMP13360,2022-12-12,End of Contract,36,Yes
EMP13394,2024-11-19,Better Opportunity,15,Yes
EMP13395,2024-01-09,End of Contract,32,Yes
EMP13407,2024-10-25,End of Contract,17,Yes
EMP13439,2025-03-13,End of Contract,44,Yes
EMP13440,2025-01-26,Salary Issues,36,No
EMP13443,2025-01-02,End of Contract,12,Yes
EMP13453,2022-04-11,Salary Issues,45,No
EMP13483,2025-05-26,Work Conditions,16,No
EMP13566,2024-02-06,Salary Issues,34,No
EMP13575,2024-12-25,Family Reasons,35,Yes
EMP13583,2025-08-16,Family Reasons,8,Yes
EMP13616,2025-11-15,End of Contract,3,Yes
EMP13619,2023-07-04,Better Opportunity,42,Yes
EMP13630,2025-02-18,End of Contract,11,Yes
EMP13646,2025-03-05,Salary Issues,26,No
EMP13655,2023-07-10,Better Opportunity,32,Yes
EMP13660,2025-10-14,End of Contract,23,Yes
EMP13662,2025-06-19,Better Opportunity,8,Yes
EMP13666,2023-05-11,Better Opportunity,40,Yes
EMP13674,2025-02-05,End of Contract,25,Yes
EMP13686,2025-10-12,Better Opportunity,3,Yes
EMP13692,2025-01-22,End of Contract,40,Yes
EMP13700,2023-01-04,Better Opportunity,44,Yes
EMP13702,2025-03-16,Better Opportunity,12,Yes
EMP13704,2025-06-01,End of Contract,14,Yes
EMP13719,2025-11-03,Better Opportunity,18,Yes
EMP13729,2025-07-15,End of Contract,31,Yes
EMP13733,2025-08-31,Better Opportunity,41,Yes
EMP13734,2023-12-04,Family Reasons,46,Yes
EMP13745,2025-07-20,End of Contract,26,Yes
EMP13751,2025-05-31,Better Opportunity,19,Yes
EMP13765,2024-08-25,Better Opportunity,19,Yes
EMP13781,2024-01-26,End of Contract,30,Yes
EMP13782,2024-12-26,Health Issues,18,No
EMP13792,2023-09-24,End of Contract,45,Yes
EMP13799,2024-10-15,Work Conditions,28,No
EMP13807,2025-02-27,Better Opportunity,15,Yes
EMP13819,2025-11-12,Better Opportunity,13,Yes
EMP13826,2025-02-27,Better Opportunity,34,Yes
EMP13829,2024-12-16,Work Conditions,20,No
EMP13861,2025-10-05,Better Opportunity,10,Yes
EMP13866,2025-11-01,Salary Issues,38,No
EMP13881,2024-09-03,Family Reasons,41,Yes
EMP13893,2022-04-08,Better Opportunity,46,Yes
EMP13943,2023-04-21,Better Opportunity,45,Yes
EMP13945,2024-09-30,End of Contract,20,Yes
EMP13946,2022-11-07,Better Opportunity,40,Yes
EMP13947,2024-07-24,Better Opportunity,43,Yes
EMP13958,2025-10-09,Salary Issues,10,No
EMP13965,2025-08-13,Better Opportunity,10,Yes
EMP13982,2024-05-23,Better Opportunity,23,Yes
EMP13983,2025-10-05,Better Opportunity,3,Yes
EMP14000,2025-02-22,Family Reasons,46,Yes
EMP14016,2025-10-29,Work Conditions,3,No
EMP14049,2025-01-26,Better Opportunity,38,Yes
EMP14080,2024-05-07,Family Reasons,35,Yes
EMP14085,2025-06-26,Better Opportunity,39,Yes
EMP14114,2022-06-23,End of Contract,42,Yes
EMP14115,2023-09-23,End of Contract,38,Yes
EMP14137,2025-08-22,Family Reasons,15,Yes
EMP14140,2025-08-04,Better Opportunity,5,Yes
EMP14164,2025-08-15,End of Contract,4,Yes
EMP14187,2025-10-21,Family Reasons,23,Yes
EMP14211,2024-03-06,Work Conditions,28,No
EMP14220,2025-06-12,Better Opportunity,25,Yes
EMP14225,2025-09-21,Better Opportunity,4,Yes
EMP14237,2024-04-25,End of Contract,23,Yes
EMP14259,2025-03-12,Better Opportunity,20,Yes
EMP14274,2025-08-12,End of Contract,8,Yes
EMP14276,2024-08-08,Work Conditions,23,No
EMP14300,2023-01-30,Family Reasons,36,Yes
EMP14313,2024-12-16,Better Opportunity,27,Yes
EMP14316,2025-07-03,Salary Issues,9,No
EMP14329,2025-03-03,End of Contract,10,Yes
EMP14362,2024-04-17,Salary Issues,38,No
EMP14383,2025-10-06,Better Opportunity,22,Yes
EMP14404,2024-04-12,Work Conditions,33,No
EMP14412,2023-09-10,Better Opportunity,45,Yes
EMP14438,2025-06-21,Work Conditions,11,No
EMP14443,2025-02-10,Better Opportunity,30,Yes
EMP14445,2022-10-29,Salary Issues,42,No
EMP14446,2023-11-15,End of Contract,35,Yes
EMP14452,2025-09-17,Family Reasons,30,Yes
EMP14480,2022-07-10,Work Conditions,42,No
EMP14483,2025-08-30,End of Contract,12,Yes
EMP14484,2024-01-01,Better Opportunity,32,Yes
EMP14502,2025-08-18,Terminated,11,No
EMP14525,2025-09-24,Family Reasons,12,Yes
EMP14535,2025-04-07,End of Contract,12,Yes
EMP14536,2025-10-05,End of Contract,15,Yes
EMP14541,2025-07-05,Salary Issues,10,No
EMP14549,2025-01-21,Family Reasons,18,Yes
EMP14560,2023-11-24,End of Contract,31,Yes
EMP14563,2025-02-28,Better Opportunity,27,Yes
EMP14567,2023-04-25,Family Reasons,42,Yes
EMP14578,2024-12-27,End of Contract,44,Yes
EMP14581,2024-01-03,Better Opportunity,32,Yes
EMP14611,2024-11-06,End of Contract,23,Yes
EMP14659,2025-05-12,Better Opportunity,10,Yes
EMP14665,2025-03-16,Better Opportunity,14,Yes
EMP14670,2025-02-12,Salary Issues,17,No
EMP14694,2024-10-13,Family Reasons,19,Yes
EMP14716,2025-10-31,End of Contract,32,Yes
EMP14731,2025-08-05,Salary Issues,45,No
EMP14756,2023-12-13,Work Conditions,29,No
EMP14759,2024-10-27,Work Conditions,24,No
EMP14771,2025-06-04,Family Reasons,25,Yes
EMP14799,2025-07-24,Health Issues,32,No
EMP14813,2023-03-19,Family Reasons,38,Yes
EMP14851,2025-08-17,Better Opportunity,19,Yes
EMP14859,2023-03-10,Family Reasons,41,Yes
EMP14860,2025-09-06,End of Contract,19,Yes
EMP14868,2023-12-01,End of Contract,25,Yes
EMP14872,2024-05-20,End of Contract,21,Yes
EMP14912,2024-01-11,Better Opportunity,28,Yes
EMP14919,2025-01-11,Salary Issues,39,No
EMP14936,2024-12-02,End of Contract,37,Yes
EMP14938,2025-08-01,End of Contract,6,Yes
EMP14946,2025-03-01,Better Opportunity,15,Yes
EMP14961,2024-11-08,Family Reasons,19,Yes
EMP14965,2025-06-21,Salary Issues,7,No
EMP14966,2023-03-12,Better Opportunity,38,Yes
EMP14985,2023-09-06,Better Opportunity,39,Yes
EMP14992,2025-07-05,End of Contract,13,Yes
EMP15007,2024-01-01,Work Conditions,33,No
EMP15012,2025-02-05,Better Opportunity,27,Yes
EMP15025,2024-03-15,Salary Issues,29,No
EMP15076,2024-01-10,Family Reasons,45,Yes
EMP15089,2025-06-09,End of Contract,29,Yes
EMP15110,2025-06-14,Better Opportunity,20,Yes
EMP15127,2022-12-05,Work Conditions,41,No
EMP15130,2025-05-26,Better Opportunity,24,Yes
EMP15134,2025-03-28,Work Conditions,10,No
EMP15179,2024-08-28,Work Conditions,16,No
EMP15193,2023-10-31,Salary Issues,43,No
EMP15196,2023-11-03,Better Opportunity,39,Yes
EMP15209,2024-12-19,End of Contract,14,Yes
EMP15235,2024-02-03,Salary Issues,23,No
EMP15257,2025-10-02,Work Conditions,10,No
EMP15269,2025-06-17,End of Contract,23,Yes
EMP15270,2025-10-16,Salary Issues,17,No
EMP15293,2024-08-26,Better Opportunity,37,Yes
EMP15318,2024-04-01,Salary Issues,32,No
EMP15342,2024-10-08,Better Opportunity,17,Yes
EMP15347,2025-07-19,Family Reasons,20,Yes
